node,train_mask,val_mask,test_mask,label,is_anchor
6,1,0,0,0,1
2,0,1,0,0,1
5,0,1,0,0,0
1,1,0,0,0,1
15,1,0,0,0,0
4,0,1,0,0,1
3,1,0,0,0,1
13,0,0,1,0,1
16,1,0,0,0,0
10,1,0,0,0,1
7,1,0,0,0,1
21,0,1,0,0,1
20,1,0,0,0,1
8,1,0,0,0,1
17,1,0,0,0,1
23,0,0,1,0,1
25,0,0,1,0,1
26,0,0,1,0,0
28,1,0,0,0,0
29,0,0,1,0,0
31,1,0,0,0,0
32,1,0,0,0,0
34,0,1,0,0,0
35,1,0,0,0,1
36,1,0,0,0,0
37,1,0,0,0,0
44,0,0,1,0,0
39,0,1,0,0,1
45,1,0,0,0,1
19,1,0,0,0,1
46,1,0,0,0,0
47,1,0,0,0,0
51,1,0,0,0,0
52,0,1,0,0,0
53,1,0,0,0,0
54,1,0,0,0,1
41,0,1,0,0,1
55,1,0,0,0,0
57,0,0,1,0,1
61,0,1,0,0,1
65,1,0,0,0,0
56,0,1,0,0,0
66,1,0,0,0,0
69,1,0,0,0,0
70,0,0,1,0,0
71,0,1,0,0,0
72,1,0,0,0,1
74,1,0,0,0,0
75,1,0,0,0,0
68,1,0,0,0,0
64,1,0,0,0,1
76,1,0,0,0,0
77,0,0,1,0,1
78,1,0,0,0,1
60,1,0,0,0,1
79,0,1,0,0,0
80,0,1,0,0,0
81,1,0,0,0,0
62,1,0,0,1,1
83,1,0,0,0,0
104,0,1,0,0,0
86,1,0,0,0,0
87,1,0,0,0,0
89,1,0,0,0,0
94,1,0,0,0,0
95,1,0,0,0,0
96,1,0,0,0,0
97,1,0,0,0,0
99,1,0,0,0,0
88,0,0,1,0,1
101,0,1,0,0,0
100,1,0,0,0,0
103,1,0,0,0,0
105,1,0,0,0,0
106,1,0,0,0,0
107,1,0,0,0,0
108,0,0,1,0,0
109,1,0,0,0,1
110,1,0,0,0,0
111,1,0,0,0,0
112,1,0,0,0,0
115,1,0,0,0,0
114,1,0,0,0,0
119,0,0,1,0,0
122,1,0,0,0,0
127,0,0,1,0,0
129,0,1,0,0,0
116,0,0,1,0,0
131,1,0,0,0,0
132,0,1,0,0,1
133,1,0,0,0,0
113,1,0,0,0,1
125,0,0,1,0,0
135,1,0,0,0,1
134,1,0,0,0,1
137,0,0,1,0,0
138,0,1,0,0,0
140,1,0,0,0,0
141,0,1,0,0,0
139,1,0,0,0,0
142,0,0,1,0,0
143,1,0,0,0,1
144,1,0,0,0,1
145,1,0,0,0,0
146,1,0,0,0,0
147,0,0,1,0,0
148,1,0,0,0,0
93,0,1,0,0,1
149,1,0,0,0,1
